Daily Date,Closing Price - VWAP (GH¢),Simple Returns
13/07/2022,0.87,0.048192771084337505
12/07/2022,0.9,0.034482758620689724
08/07/2022,0.9,0.0
07/07/2022,0.9,0.0
06/07/2022,0.9,0.0
05/07/2022,0.9,0.0
04/07/2022,0.9,0.0
01/07/2022,0.9,0.0
30/06/2022,0.9,0.0
29/06/2022,0.9,0.0
28/06/2022,0.9,0.0
27/06/2022,0.87,-0.033333333333333326
24/06/2022,0.87,0.0
23/06/2022,0.87,0.0
22/06/2022,0.86,-0.011494252873563204
20/06/2022,0.86,0.0
17/06/2022,0.86,0.0
16/06/2022,0.9,0.04651162790697683
15/06/2022,0.9,0.0
14/06/2022,0.9,0.0
13/06/2022,0.9,0.0
10/06/2022,0.9,0.0
09/06/2022,0.9,0.0
08/06/2022,0.9,0.0
07/06/2022,0.9,0.0
06/06/2022,0.9,0.0
03/06/2022,0.9,0.0
02/06/2022,0.9,0.0
01/06/2022,0.9,0.0
31/05/2022,0.9,0.0
30/05/2022,0.9,0.0
27/05/2022,0.9,0.0
26/05/2022,0.9,0.0
25/05/2022,0.9,0.0
24/05/2022,0.9,0.0
23/05/2022,0.9,0.0
20/05/2022,0.9,0.0
19/05/2022,0.9,0.0
18/05/2022,0.94,0.04444444444444429
17/05/2022,0.92,-0.02127659574468077
16/05/2022,0.9,-0.021739130434782594
13/05/2022,0.9,0.0
12/05/2022,0.9,0.0
10/05/2022,1.0,0.11111111111111116
09/05/2022,1.0,0.0
06/05/2022,1.0,0.0
05/05/2022,1.0,0.0
04/05/2022,1.0,0.0
29/04/2022,1.0,0.0
28/04/2022,1.0,0.0
27/04/2022,1.0,0.0
26/04/2022,1.0,0.0
25/04/2022,1.0,0.0
22/04/2022,1.0,0.0
21/04/2022,1.0,0.0
20/04/2022,1.0,0.0
19/04/2022,1.0,0.0
14/04/2022,1.0,0.0
13/04/2022,1.0,0.0
12/04/2022,1.0,0.0
11/04/2022,1.0,0.0
08/04/2022,1.0,0.0
07/04/2022,1.0,0.0
06/04/2022,1.0,0.0
05/04/2022,1.0,0.0
04/04/2022,1.0,0.0
01/04/2022,1.06,0.06000000000000005
31/03/2022,1.06,0.0
30/03/2022,1.06,0.0
29/03/2022,1.06,0.0
28/03/2022,1.06,0.0
25/03/2022,1.06,0.0
24/03/2022,1.06,0.0
23/03/2022,1.06,0.0
22/03/2022,1.06,0.0
21/03/2022,1.06,0.0
18/03/2022,1.06,0.0
17/03/2022,1.06,0.0
16/03/2022,1.06,0.0
15/03/2022,1.06,0.0
14/03/2022,1.08,0.018867924528301883
11/03/2022,1.08,0.0
10/03/2022,1.08,0.0
09/03/2022,1.08,0.0
08/03/2022,1.08,0.0
04/03/2022,1.08,0.0
03/03/2022,1.08,0.0
02/03/2022,1.08,0.0
01/03/2022,1.08,0.0
28/02/2022,1.05,-0.02777777777777779
25/02/2022,1.05,0.0
24/02/2022,1.05,0.0
23/02/2022,1.05,0.0
22/02/2022,1.05,0.0
21/02/2022,1.05,0.0
18/02/2022,1.05,0.0
17/02/2022,1.05,0.0
16/02/2022,1.05,0.0
15/02/2022,1.05,0.0
14/02/2022,1.08,0.028571428571428692
11/02/2022,1.08,0.0
10/02/2022,1.08,0.0
09/02/2022,1.08,0.0
08/02/2022,1.08,0.0
07/02/2022,1.08,0.0
04/02/2022,1.08,0.0
03/02/2022,1.08,0.0
02/02/2022,1.09,0.0092592592592593
01/02/2022,1.11,0.01834862385321112
31/01/2022,1.11,0.0
28/01/2022,1.11,0.0
27/01/2022,1.11,0.0
26/01/2022,1.11,0.0
25/01/2022,1.11,0.0
24/01/2022,1.11,0.0
21/01/2022,1.11,0.0
20/01/2022,1.11,0.0
19/01/2022,1.11,0.0
18/01/2022,1.09,-0.018018018018018056
17/01/2022,1.09,0.0
14/01/2022,1.09,0.0
13/01/2022,1.08,-0.00917431192660556
12/01/2022,1.06,-0.01851851851851849
11/01/2022,1.03,-0.028301886792452824
10/01/2022,1.03,0.0
06/01/2022,1.07,0.03883495145631066
05/01/2022,1.07,0.0
04/01/2022,1.06,-0.009345794392523366
31/12/2021,1.11,0.04716981132075482
30/12/2021,1.12,0.009009009009008917
29/12/2021,1.13,0.008928571428571175
24/12/2021,1.13,0.0
23/12/2021,1.13,0.0
22/12/2021,1.13,0.0
21/12/2021,1.16,0.026548672566371723
20/12/2021,1.16,0.0
17/12/2021,1.16,0.0
16/12/2021,1.15,-0.008620689655172376
15/12/2021,1.16,0.008695652173912993
14/12/2021,1.16,0.0
13/12/2021,1.16,0.0
10/12/2021,1.16,0.0
09/12/2021,1.15,-0.008620689655172376
08/12/2021,1.15,0.0
07/12/2021,1.16,0.008695652173912993
06/12/2021,1.18,0.01724137931034475
02/12/2021,1.18,0.0
01/12/2021,1.18,0.0
30/11/2021,1.2,0.016949152542372836
29/11/2021,1.2,0.0
26/11/2021,1.2,0.0
25/11/2021,1.2,0.0
24/11/2021,1.2,0.0
23/11/2021,1.2,0.0
22/11/2021,1.24,0.03333333333333344
18/11/2021,1.32,0.06451612903225823
17/11/2021,1.32,0.0
16/11/2021,1.33,0.007575757575757569
15/11/2021,1.32,-0.007518796992481258
12/11/2021,1.3,-0.015151515151515138
11/11/2021,1.3,0.0
10/11/2021,1.29,-0.007692307692307665
09/11/2021,1.27,-0.015503875968992276
08/11/2021,1.3,0.023622047244094446
05/11/2021,1.27,-0.023076923076923106
04/11/2021,1.27,0.0
03/11/2021,1.27,0.0
02/11/2021,1.21,-0.047244094488189003
01/11/2021,1.21,0.0
29/10/2021,1.21,0.0
28/10/2021,1.24,0.024793388429751984
27/10/2021,1.2,-0.032258064516129115
26/10/2021,1.2,0.0
25/10/2021,1.2,0.0
22/10/2021,1.2,0.0
21/10/2021,1.2,0.0
20/10/2021,1.2,0.0
19/10/2021,1.2,0.0
18/10/2021,1.2,0.0
15/10/2021,1.2,0.0
14/10/2021,1.2,0.0
13/10/2021,1.2,0.0
12/10/2021,1.21,0.008333333333333304
11/10/2021,1.23,0.016528925619834656
08/10/2021,1.23,0.0
07/10/2021,1.24,0.008130081300812941
06/10/2021,1.24,0.0
05/10/2021,1.24,0.0
04/10/2021,1.24,0.0
01/10/2021,1.24,0.0
30/09/2021,1.24,0.0
29/09/2021,1.23,-0.008064516129032251
28/09/2021,1.23,0.0
27/09/2021,1.14,-0.07317073170731714
24/09/2021,1.12,-0.01754385964912264
23/09/2021,1.12,0.0
22/09/2021,1.24,0.10714285714285698
20/09/2021,1.24,0.0
16/09/2021,1.24,0.0
15/09/2021,1.24,0.0
14/09/2021,1.24,0.0
13/09/2021,1.26,0.016129032258064502
10/09/2021,1.26,0.0
09/09/2021,1.26,0.0
08/09/2021,1.26,0.0
07/09/2021,1.24,-0.015873015873015928
06/09/2021,1.24,0.0
03/09/2021,1.24,0.0
02/09/2021,1.24,0.0
01/09/2021,1.24,0.0
31/08/2021,1.24,0.0
30/08/2021,1.24,0.0
27/08/2021,1.24,0.0
26/08/2021,1.23,-0.008064516129032251
