Daily Date,Share Code,Total Value Traded (GH¢)
8/2/2022,CAL,"7,945.80"
7/2/2022,CAL,"39,548.60"
4/2/2022,CAL,"2,748.80"
3/2/2022,CAL,649.6
2/2/2022,CAL,"1,601,717.60"
1/2/2022,CAL,"814,051.72"
31/01/2022,CAL,"1,604.74"
28/01/2022,CAL,"82,842.14"
27/01/2022,CAL,"27,691.40"
26/01/2022,CAL,0
25/01/2022,CAL,"37,169.78"
24/01/2022,CAL,26.24
21/01/2022,CAL,0
20/01/2022,CAL,"33,567.52"
19/01/2022,CAL,0
18/01/2022,CAL,"31,181.32"
17/01/2022,CAL,"61,001.44"
14/01/2022,CAL,"15,592.30"
13/01/2022,CAL,"4,767.60"
12/1/2022,CAL,"15,834.00"
11/1/2022,CAL,"9,175.89"
10/1/2022,CAL,856.95
6/1/2022,CAL,"22,641.75"
5/1/2022,CAL,"3,213.78"
4/1/2022,CAL,"19,906.47"
31/12/2021,CAL,"11,136.00"
30/12/2021,CAL,"9,032.34"
29/12/2021,CAL,348
24/12/2021,CAL,"46,959.99"
23/12/2021,CAL,0
22/12/2021,CAL,522
21/12/2021,CAL,"1,502.49"
20/12/2021,CAL,"52,567.14"
17/12/2021,CAL,"11,978.16"
16/12/2021,CAL,"19,350.63"
15/12/2021,CAL,"8,400.00"
14/12/2021,CAL,"1,086.96"
13/12/2021,CAL,586.32
10/12/2021,CAL,263.76
9/12/2021,CAL,"161,674.80"
8/12/2021,CAL,"20,145.85"
7/12/2021,CAL,85.85
6/12/2021,CAL,"16,900.55"
2/12/2021,CAL,"15,343.18"
1/12/2021,CAL,"1,616.46"
30/11/2021,CAL,"10,334.73"
29/11/2021,CAL,"19,006.02"
26/11/2021,CAL,"43,500.00"
25/11/2021,CAL,"6,770.34"
24/11/2021,CAL,0
23/11/2021,CAL,0
22/11/2021,CAL,"1,873.11"
18/11/2021,CAL,"137,818.55"
17/11/2021,CAL,"46,761.90"
16/11/2021,CAL,"78,059.01"
15/11/2021,CAL,694.69
12/11/2021,CAL,0
11/11/2021,CAL,"1,105,011.50"
10/11/2021,CAL,"303,506.60"
9/11/2021,CAL,"111,244.24"
8/11/2021,CAL,"4,000.00"
5/11/2021,CAL,0
4/11/2021,CAL,"117,688.74"
3/11/2021,CAL,0
2/11/2021,CAL,"70,314.44"
1/11/2021,CAL,0
29/10/2021,CAL,0
28/10/2021,CAL,0
27/10/2021,CAL,684
26/10/2021,CAL,608
25/10/2021,CAL,"39,577.76"
22/10/2021,CAL,"643,428.16"
21/10/2021,CAL,"1,064.00"
20/10/2021,CAL,"16,608.28"
19/10/2021,CAL,"3,800.00"
18/10/2021,CAL,"128,197.56"
15/10/2021,CAL,"2,085.44"
14/10/2021,CAL,"5,912.25"
13/10/2021,CAL,"76,568.17"
12/10/2021,CAL,"81,650.00"
11/10/2021,CAL,"2,017.40"
8/10/2021,CAL,"179,647.16"
7/10/2021,CAL,"20,895.49"
6/10/2021,CAL,"16,732.10"
5/10/2021,CAL,930.18
4/10/2021,CAL,"30,253.42"
1/10/2021,CAL,"2,907,144.76"
30/09/2021,CAL,"165,279.00"
